,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,10,935058.0,True,6e-11,-4.7621,-330.005726015,-3.437499998426574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
1,140,2,100,10,7092.0,True,1.1e-10,-4.7607,-330.005702745,-1.1104999998678977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
2,140,4,100,10,58158.0,True,5.9e-11,-4.7621,-330.005726005,-3.436499997633291e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
3,140,6,100,10,201124.0,True,6.3e-11,-4.7621,-330.00572601,-3.4369999980299326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
4,140,8,100,10,479122.0,True,6.4e-11,-4.7621,-330.00572602,-3.437999998823216e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
5,180,10,100,10,798155.0,True,4.4e-11,-4.7588,-330.00567116,2.0479999989220232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
6,180,2,100,10,8087.0,True,9.3e-11,-4.7574,-330.005648245,4.339500003425201e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
7,180,4,100,10,65042.0,True,4.5e-11,-4.7588,-330.005671145,2.049500000111948e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
8,180,6,100,10,221041.0,True,4.4e-11,-4.7588,-330.005671155,2.0484999993186648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
9,180,8,100,10,407104.0,True,4.5e-11,-4.7588,-330.00567116,2.0479999989220232e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
10,260,10,100,10,1154028.0,True,4.1e-11,-4.7584,-330.005685885,5.7550000178707705e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
11,260,2,100,10,9143.0,True,8.9e-11,-4.7571,-330.00566303,2.861000001530556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
12,260,4,100,10,74085.0,True,4.5e-11,-4.7584,-330.005685875,5.765000025803602e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
13,260,6,100,10,193082.0,True,4.2e-11,-4.7584,-330.00568588,5.760000021837186e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
14,260,8,100,10,590080.0,True,4.2e-11,-4.7584,-330.00568589,5.750000013904355e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
15,300,10,100,10,1044168.0,True,3.7e-11,-4.758,-330.005690825,8.150000212481245e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
16,300,2,100,10,12054.0,True,8.4e-11,-4.7566,-330.005668025,2.361500003189576e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
17,300,4,100,10,88071.0,True,4e-11,-4.758,-330.00569081,8.300000331473711e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
18,300,6,100,10,223146.0,True,3.8e-11,-4.758,-330.00569082,8.200000252145401e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
19,300,8,100,10,704143.0,True,3.9e-11,-4.758,-330.005690825,8.150000212481245e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
20,340,10,100,10,1450066.0,True,3.8e-11,-4.7582,-330.005690165,1.4750000332242053e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
21,340,2,100,10,11031.0,True,8.5e-11,-4.7569,-330.005667355,2.4284999994961254e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
22,340,4,100,10,78120.0,True,4.3e-11,-4.7582,-330.00569015,1.489999988280033e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
23,340,6,100,10,262127.0,True,4e-11,-4.7582,-330.00569016,1.4800000371906208e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
24,340,8,100,10,741144.0,True,4e-11,-4.7582,-330.005690165,1.4750000332242053e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45945802045978945,0.0,0.0,0.0,0.0,0.0,0.5405419795402107,0.0
