,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,180,2,100,9,1036.0,True,2.9e-10,5.023,-28.29878969,4.27999999885742e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
1,180,4,100,8,5118.0,True,2.7e-11,4.6828,-28.3681061,-0.06931213000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
2,180,6,100,8,18144.0,True,3.3e-11,4.4477,-28.37199523,-0.07320126000000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
3,220,2,100,9,1039.0,True,2.9e-10,5.023,-28.29879343,5.399999984945225e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
4,220,4,100,8,5114.0,True,2.7e-11,4.6827,-28.36810985,-0.06931588000000133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
5,260,2,100,9,1032.0,True,2.9e-10,5.023,-28.298794245,-2.7500000143731995e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
6,260,4,100,8,5129.0,True,2.7e-11,4.6827,-28.36811069,-0.06931672000000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
7,300,2,100,9,1044.0,True,2.9e-10,5.023,-28.29879459,-6.200000015610385e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
8,300,4,100,8,6083.0,True,2.7e-11,4.6827,-28.36811103,-0.06931706000000304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
9,300,8,100,7,47076.0,True,7.5e-10,4.4929,-28.37245696,-0.07366299000000254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
10,340,2,100,9,1037.0,True,2.9e-10,5.023,-28.29879486,-8.900000025846566e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
11,140,2,20,9,111.0,True,2.2e-10,5.0243,-28.2981849,0.0006090699999994342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
12,180,2,20,9,112.0,True,2.2e-10,5.0243,-28.2981963,0.0005976699999976631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
13,180,4,20,8,4031.0,True,1e-10,4.6839,-28.367439655,-0.0686456849999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
14,220,2,20,9,115.0,True,2.2e-10,5.0243,-28.29820006,0.0005939099999991981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
15,260,2,20,9,105.0,True,2.2e-10,5.0243,-28.29820087,0.00059309999999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
16,260,6,20,8,13091.0,True,1.8e-11,4.4499,-28.371326585,-0.07253261500000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
17,300,2,20,9,116.0,True,2.2e-10,5.0243,-28.29820122,0.0005927499999991426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
18,300,4,20,8,4038.0,True,1e-10,4.6839,-28.3674446,-0.06865063000000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
19,300,6,20,8,13099.0,True,1.8e-11,4.4499,-28.371326925,-0.07253295500000334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
20,340,2,20,9,1021.0,True,2.2e-10,5.0243,-28.298201495,0.0005924749999977053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647760470486178,0.0,0.7352239529513822,0.0,0.0,0.0
