,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,15,2050.0,True,7.7e-10,10.8795,-182.73704173,-0.08236739499997725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1,180,10,100,11,165036.0,True,1.2e-10,10.8212,-182.666457705,-0.01178336999998919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
2,180,2,100,17,2054.0,True,4.9e-10,10.7086,-182.650112585,0.0045617500000219025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
3,180,4,100,13,12072.0,True,2.8e-11,10.8575,-182.67085419,-0.016179854999990084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
4,180,6,100,13,42032.0,True,2.5e-12,10.8497,-182.66696133,-0.012286994999982426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5,180,8,100,11,86103.0,True,2.6e-10,10.8267,-182.66634708,-0.011672744999998486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
6,220,10,100,11,167082.0,True,7.5e-10,10.7461,-182.65490447,-0.0002301349999811464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7,220,2,100,16,2056.0,True,2.6e-10,10.5871,-182.63402616,0.020648175000019364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
8,220,4,100,11,10139.0,True,9.2e-10,10.7645,-182.659173845,-0.0044995099999880495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
9,220,6,100,12,41096.0,True,5.3e-10,10.7809,-182.65541422,-0.00073988500000155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
10,220,8,100,10,80104.0,True,9.8e-10,10.7509,-182.654835305,-0.00016096999999604122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
11,260,10,100,11,170150.0,True,9.9e-10,10.7465,-182.655004685,-0.00033034999998449166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
12,260,2,100,13,2024.0,True,1.5e-10,10.5886,-182.634036025,0.020638310000009596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
13,260,4,100,12,12127.0,True,6.4e-11,10.7654,-182.659279,-0.004604664999988017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
14,260,6,100,12,43077.0,True,9.9e-10,10.7813,-182.655514905,-0.0008405699999798344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
15,260,8,100,11,96109.0,True,6.8e-10,10.7513,-182.654934955,-0.0002606199999775072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
16,300,10,100,12,198183.0,True,2.3e-10,10.7465,-182.654999485,-0.00032514999998056737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
