,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,100,10,20,10,108105,True,2e-11,17.8581,-110.09788786,0.058766160000004675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
1,100,2,20,10,1048,True,7e-10,17.6922,-110.02925206,0.12740196000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
2,100,4,20,10,7054,True,6.9e-10,17.822,-110.085090745,0.07156327500000259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
3,100,6,20,10,23156,True,2e-10,17.913,-110.096453235,0.06020078500000636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
4,100,8,20,10,53129,True,4.9e-10,17.8076,-110.097823325,0.0588306950000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
5,140,10,20,10,108034,True,1.9e-11,17.8581,-110.09788583,0.05876819000000921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
6,140,2,20,10,1049,True,8.9e-10,17.6922,-110.029250135,0.12740388500000677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
7,140,4,20,10,7063,True,7.2e-10,17.822,-110.08508874,0.07156528000000151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
8,140,6,20,10,23138,True,1.8e-10,17.913,-110.096451215,0.06020280500000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
9,140,8,20,10,53081,True,5.4e-10,17.8076,-110.09782128,0.05883273999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
10,180,10,20,10,98163,True,1.9e-11,17.8581,-110.097889755,0.058764265000007754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
11,180,2,20,10,1051,True,8.7e-10,17.6921,-110.02925384,0.1274001800000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
12,180,4,20,10,7059,True,7.5e-10,17.822,-110.08509262,0.07156140000000732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
13,180,6,20,10,21099,True,1.9e-10,17.9129,-110.09645514,0.06019888000000151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
14,180,8,20,10,48126,True,5.4e-10,17.8076,-110.097825215,0.058828805000004536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
15,220,10,20,10,109022,True,1.9e-11,17.8581,-110.09789093,0.05876308999999935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
16,220,2,20,10,1053,True,8.4e-10,17.6921,-110.029255035,0.12739898499999924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
17,220,4,20,10,7063,True,7.4e-10,17.8219,-110.085093795,0.07156022499999892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
18,220,6,20,10,23114,True,1.9e-10,17.9129,-110.09645632,0.06019770000000335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
19,220,8,20,10,53076,True,5.3e-10,17.8076,-110.097826385,0.0588276350000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
20,260,10,20,10,98143,True,1.9e-11,17.8581,-110.09789363,0.058760390000003326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
21,260,2,20,10,1054,True,8.4e-10,17.6921,-110.02925783,0.1273961899999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
22,260,4,20,10,6109,True,7.4e-10,17.822,-110.085096515,0.07155750500000124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
23,260,6,20,10,21174,True,1.9e-10,17.9129,-110.09645903,0.06019498999999939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
24,260,8,20,10,49099,True,5.3e-10,17.8076,-110.09782908,0.05882494000000804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
25,300,10,20,10,97159,True,1.9e-11,17.8581,-110.09789421,0.05875980999999797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
26,300,2,20,10,1056,True,8.5e-10,17.6921,-110.02925844,0.12739557999999818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
27,300,4,20,10,6111,True,7.4e-10,17.822,-110.08509711,0.0715569099999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
28,300,6,20,10,21129,True,1.9e-10,17.9129,-110.09645962,0.060194400000000314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
29,300,8,20,10,48119,True,5.3e-10,17.8076,-110.09782966,0.058824360000002685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
30,340,10,20,10,97147,True,1.9e-11,17.8581,-110.097895125,0.05875889500001108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
31,340,2,20,10,1062,True,8.5e-10,17.6921,-110.029259395,0.12739462500000798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
32,340,4,20,10,6121,True,7.4e-10,17.822,-110.085098025,0.07155599500001131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
33,340,6,20,10,21147,True,1.9e-10,17.9129,-110.096460535,0.060193484999999214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
34,340,8,20,10,48095,True,5.3e-10,17.8076,-110.097830575,0.058823445000001584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
35,380,10,20,10,98161,True,1.9e-11,17.8581,-110.097894885,0.058759135000002516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
36,380,2,20,10,1056,True,8.5e-10,17.6921,-110.029259155,0.1273948649999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
37,380,4,20,10,7070,True,7.4e-10,17.822,-110.085097785,0.07155623500000274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
38,380,6,20,10,23124,True,1.9e-10,17.9129,-110.096460295,0.06019372500000486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
39,380,8,20,10,48145,True,5.3e-10,17.8076,-110.097830335,0.05882368500000723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
40,100,10,25,10,103136,True,7.8e-10,17.8569,-110.1515944,0.005059620000011478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
41,100,2,25,11,1059,True,1.7e-10,17.6827,-110.090793265,0.06586075500000277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
42,100,4,25,10,6111,True,2.2e-10,17.8086,-110.14108231,0.015571710000003236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
43,100,6,25,11,22152,True,8.2e-11,17.9085,-110.15002977,0.0066242500000015525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
44,100,8,25,9,47061,True,7e-10,17.803,-110.15099491,0.005659110000010514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
45,140,10,25,10,103111,True,7.8e-10,17.8569,-110.15159216,0.005061859999997864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
46,140,2,25,11,1060,True,1.6e-10,17.6827,-110.09079103,0.0658629899999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
47,140,4,25,10,6118,True,2.1e-10,17.8086,-110.141080105,0.01557391500000449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
48,140,6,25,10,20092,True,9.4e-10,17.9085,-110.150027575,0.006626445000009085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
49,140,8,25,9,46108,True,8e-10,17.803,-110.15099265,0.005661369999998556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
50,180,10,25,10,103156,True,7.8e-10,17.8568,-110.15159731,0.005056710000005182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
51,180,2,25,11,1067,True,1.5e-10,17.6827,-110.09079602,0.06585800000000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
52,180,4,25,10,6132,True,2.1e-10,17.8086,-110.14108523,0.015568790000003219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
53,180,6,25,10,22086,True,9.3e-10,17.9085,-110.1500327,0.006621320000007813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
54,180,8,25,9,46141,True,8e-10,17.803,-110.150997805,0.005656215000001907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
55,220,10,25,10,103114,True,7.8e-10,17.8568,-110.15159855,0.00505547000000206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
56,220,2,25,11,1066,True,1.4e-10,17.6827,-110.090797315,0.06585670500000163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
57,220,4,25,10,6155,True,2.1e-10,17.8086,-110.14108648,0.015567540000006375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
58,220,6,25,10,20110,True,9.1e-10,17.9085,-110.150033955,0.006620065000007003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
59,220,8,25,9,47092,True,7.9e-10,17.803,-110.150999045,0.005654974999998785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
60,260,10,25,10,103142,True,7.8e-10,17.8568,-110.15160129,0.005052730000002725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
61,260,2,25,11,1070,True,1.4e-10,17.6827,-110.09080013,0.06585388999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
62,260,4,25,10,6120,True,2.1e-10,17.8086,-110.141089235,0.015564785000009351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
63,260,6,25,10,20110,True,9.2e-10,17.9085,-110.1500367,0.006617320000003701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
64,260,8,25,9,47093,True,7.9e-10,17.803,-110.15100178,0.005652240000003417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
65,300,10,25,10,102163,True,7.8e-10,17.8568,-110.15160186,0.005052160000005301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
66,300,2,25,11,1077,True,1.4e-10,17.6827,-110.090800715,0.06585330500000453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
67,300,4,25,10,6120,True,2.1e-10,17.8086,-110.14108981,0.01556421000000796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
68,300,6,25,10,20098,True,9.2e-10,17.9085,-110.15003728,0.0066167399999983445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
69,300,8,25,9,46140,True,7.9e-10,17.803,-110.151002345,0.005651675000009959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
70,340,10,25,10,112084,True,7.7e-10,17.8568,-110.15160272,0.005051300000005199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
71,340,2,25,11,1075,True,1.4e-10,17.6827,-110.090801595,0.06585242500000277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
72,340,4,25,10,7040,True,2.1e-10,17.8086,-110.141090675,0.015563345000003892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
73,340,6,25,10,21086,True,9.2e-10,17.9085,-110.15003814,0.006615879999998242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
74,340,8,25,9,46124,True,7.9e-10,17.803,-110.15100321,0.00565081000000589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
75,380,10,25,10,113049,True,7.7e-10,17.8568,-110.15160247,0.005051550000004568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
76,380,2,25,11,1074,True,1.4e-10,17.6827,-110.090801345,0.06585267500000214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
77,380,4,25,10,7060,True,2.1e-10,17.8086,-110.141090425,0.01556359500000326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
78,380,6,25,10,22087,True,9.2e-10,17.9085,-110.15003789,0.006616130000011822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
79,380,8,25,9,51080,True,7.9e-10,17.803,-110.15100296,0.005651060000005259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
80,100,10,30,10,100163,True,6.5e-11,17.8515,-110.153567505,0.0030865150000067842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
81,100,2,30,11,1063,True,4.5e-12,17.6734,-110.09270382,0.06395020000000784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
82,100,4,30,10,7057,True,6.5e-10,17.807,-110.142924815,0.013729205000004185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
83,100,6,30,10,22109,True,5.4e-10,17.9042,-110.151975455,0.004678565000006074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769083730043773,0.0,0.0,0.0,0.12309162699562268,0.0,0.0,0.0,0.0,0.0
