,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,19,199058.0,True,1.7e-10,13.5488,-190.850413145,-0.00018952499999613792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
1,140,2,100,17,2040.0,True,6.3e-10,12.9188,-190.850998085,-0.0007744649999779085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
2,140,4,100,28,18034.0,True,9.1e-10,13.3504,-190.851372185,-0.0011485649999940506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
3,140,6,100,22,52132.0,True,1.6e-10,13.6386,-190.84944611,0.000777510000006032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
4,140,8,100,20,108091.0,True,5.9e-10,13.5042,-190.850141505,8.21149999978843e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
5,180,10,100,19,203167.0,True,5.9e-11,13.5487,-190.85021527,8.350000001655644e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
6,180,2,100,17,2024.0,True,3.1e-10,12.9195,-190.850800065,-0.0005764449999787757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
7,180,4,100,25,16038.0,True,8.3e-10,13.3501,-190.85117352,-0.000949899999994841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
8,180,6,100,20,48152.0,True,8.4e-10,13.6388,-190.8492491,0.0009745199999997567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
9,180,8,100,20,111060.0,True,1.4e-10,13.5043,-190.84994388,0.00027973999999630905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6850711235145883,0.0,0.0,0.31492887648541174,0.0,0.0,0.0,0.0,0.0
