,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,14,290103.0,True,9e-11,5.4105,-249.895091185,-1.380000014705729e-06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,2,100,13,2105.0,True,5.7e-10,5.2074,-249.907707265,-0.012617460000001302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,140,4,100,14,18105.0,True,3.8e-11,5.4314,-249.894933165,0.0001566400000001522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,6,100,14,62060.0,True,7.4e-11,5.4179,-249.89514679,-5.6985000014719844e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,140,8,100,14,148093.0,True,9.1e-11,5.4153,-249.89501948,7.032499999581887e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,10,100,14,331150.0,True,9.2e-11,5.4105,-249.89508914,6.649999875207868e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,2,100,13,3040.0,True,4.3e-10,5.2074,-249.90770588,-0.012616075000011051,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,180,4,100,14,21081.0,True,3.8e-11,5.4314,-249.894931135,0.00015866999999047948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,180,6,100,14,70143.0,True,8e-11,5.4179,-249.895144755,-5.494999999200445e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,180,8,100,14,169103.0,True,9.2e-11,5.4153,-249.895017445,7.235999999011256e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,10,100,14,329147.0,True,9.1e-11,5.4105,-249.89508999,-1.850000046488276e-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,2,100,13,3051.0,True,4e-10,5.2074,-249.907706495,-0.012616690000015751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220,4,100,14,21073.0,True,3.8e-11,5.4314,-249.894931985,0.00015781999999830987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220,6,100,14,70098.0,True,8e-11,5.4179,-249.895145605,-5.5800000012595774e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,220,8,100,14,168151.0,True,9.3e-11,5.4153,-249.89501829,7.151500000190936e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,10,100,14,349089.0,True,9.1e-11,5.4105,-249.89508987,-6.499999471998308e-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
