,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,12,1064.0,True,3.4e-11,5.9087,-40.71766493,-0.02372875999999735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
1,140,4,100,21,17067.0,True,7.2e-10,6.6036,-40.69259263,0.001343540000000587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
2,140,6,100,13,39160.0,True,9.3e-10,6.6608,-40.69323845,0.0006977199999980144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
3,140,8,100,22,153128.0,True,1.4e-10,6.6353,-40.694014555,-7.838500000190152e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
4,180,2,100,12,1069.0,True,1.5e-10,5.9084,-40.717582475,-0.023646304999999757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
5,180,4,100,21,18084.0,True,2.7e-10,6.6033,-40.69251529,0.0014208799999977373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
6,180,6,100,17,47161.0,True,6.1e-10,6.6603,-40.693160245,0.0007759249999992335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
7,180,8,100,22,164095.0,True,8.8e-10,6.6348,-40.69393642,-2.499999993688107e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
8,220,2,100,12,1078.0,True,8.4e-11,5.9083,-40.717586545,-0.023650375000002555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
9,220,4,100,20,19053.0,True,8.8e-10,6.6032,-40.69251979,0.0014163800000019933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
10,220,6,100,18,57091.0,True,9e-11,6.6603,-40.69316456,0.0007716100000010329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
11,220,8,100,24,190092.0,True,5.9e-11,6.6348,-40.693940795,-4.625000002533852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
12,260,2,100,12,1081.0,True,1.1e-10,5.9083,-40.71758104,-0.023644869999998264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
13,260,4,100,25,21096.0,True,8.4e-10,6.6031,-40.692514635,0.0014215349999986415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
14,260,6,100,18,54090.0,True,1.6e-10,6.6603,-40.693159335,0.0007768350000034729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
15,260,8,100,24,183170.0,True,2.5e-10,6.6348,-40.69393558,5.899999990788274e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
16,300,2,100,12,1089.0,True,8.7e-11,5.9083,-40.71758611,-0.023649939999998537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
17,300,4,100,23,23042.0,True,8.7e-11,6.6032,-40.692519645,0.0014165250000033325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
18,300,6,100,18,59103.0,True,1.4e-11,6.6603,-40.69316435,0.0007718199999970921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16682828763109547,0.8331717123689046,0.0
