,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,38,847173.0,True,6.8e-11,10.9148,-244.788539215,1.300000178616756e-07,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
1,140,2,100,46,14111.0,True,7.3e-10,11.0102,-244.786499235,0.0020401099999958205,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
2,140,4,100,44,69167.0,True,4.5e-10,10.9179,-244.788384065,0.00015528000000131215,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
3,140,6,100,43,229063.0,True,2.1e-10,10.9113,-244.78853086,8.484999995062026e-06,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
4,140,8,100,36,454104.0,True,1.6e-10,10.9174,-244.788549785,-1.0439999982736481e-05,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
5,180,10,100,45,982097.0,True,7.7e-10,10.9148,-244.7885394,-5.499998678715201e-08,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
6,180,2,100,33,9106.0,True,7e-10,11.0102,-244.78649926,0.00204008500000441,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
7,180,4,100,52,67129.0,True,6.6e-10,10.9179,-244.788384415,0.00015493000000788015,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
8,180,6,100,58,253049.0,True,9.3e-12,10.9113,-244.788531015,8.330000014211691e-06,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
9,180,8,100,40,447106.0,True,6.3e-10,10.9174,-244.78854981,-1.0465000002568559e-05,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
10,220,10,100,40,898142.0,True,6e-10,10.9148,-244.788539445,-9.999999406318238e-08,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
11,220,2,100,37,12118.0,True,6.7e-10,11.0101,-244.78649962,0.0020397250000030454,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
12,220,4,100,35,51131.0,True,6.7e-10,10.9178,-244.7883838,0.0001555450000125802,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
13,220,6,100,52,252053.0,True,1.8e-10,10.9113,-244.78853101,8.334999989756398e-06,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
14,220,8,100,45,506106.0,True,6.2e-10,10.9174,-244.788549785,-1.0439999982736481e-05,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
15,260,10,100,45,922065.0,True,2.8e-10,10.9148,-244.788539425,-8.000000661922968e-08,0.8189617382216824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18103826177831756,0.0,0.0,0.0
