,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,14,309160,True,2.8e-10,18.2938,-310.19326929,1.7230000025847403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,2,100,18,2066,True,4.7e-10,18.7651,-310.104751235,0.08853528500003449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,140,4,100,13,17079,True,5e-11,18.2826,-310.199764655,-0.006478135000008933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,6,100,17,71139,True,1.8e-11,18.2915,-310.192398605,0.0008879150000211666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,140,8,100,15,172120,True,7.5e-10,18.2849,-310.193463975,-0.0001774549999709052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,10,100,14,314082,True,2.9e-10,18.2938,-310.1932703,1.622000002043933e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,2,100,18,2086,True,4.7e-10,18.7651,-310.104752585,0.08853393499998674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,180,4,100,13,17092,True,5e-11,18.2826,-310.199765645,-0.006479124999998476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,180,6,100,17,73154,True,1.4e-11,18.2915,-310.192399495,0.0008870249999972657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,180,8,100,15,177080,True,7.7e-10,18.2849,-310.19346491,-0.00017838999997366045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,10,100,14,331081,True,2.9e-10,18.2938,-310.19327377,1.2749999996231054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,2,100,18,2113,True,4.7e-10,18.7651,-310.104755995,0.08853052500001013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220,4,100,13,18098,True,5e-11,18.2826,-310.199769115,-0.0064825949999658405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220,6,100,17,77126,True,1.4e-11,18.2915,-310.192402965,0.0008835550000299008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,220,8,100,15,184176,True,7.6e-10,18.2848,-310.19346838,-0.00018185999999786873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,10,100,14,329106,True,2.9e-10,18.2938,-310.193285005,1.5150000081121107e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,260,2,100,18,2112,True,4.7e-10,18.7651,-310.10476735,0.0885191700000405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,260,4,100,13,18133,True,5e-11,18.2826,-310.199780355,-0.006493834999957926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,260,6,100,17,78129,True,1.4e-11,18.2915,-310.19241419,0.0008723299999928713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,260,8,100,15,185183,True,7.7e-10,18.2848,-310.193479615,-0.00019309499998598767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,10,100,14,323040,True,2.9e-10,18.2938,-310.193283355,3.165000009630603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,2,100,18,2107,True,4.7e-10,18.7651,-310.1047657,0.08852082000004202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,300,4,100,13,18083,True,4.9e-11,18.2826,-310.1997787,-0.006492180000009284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,300,6,100,17,75132,True,1.4e-11,18.2915,-310.19241255,0.0008739700000433004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,300,8,100,15,180084,True,7.7e-10,18.2848,-310.193477965,-0.00019144499998446918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,340,10,100,14,356060,True,2.8e-10,18.2938,-310.19328487,1.6500000015184924e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,340,2,100,18,3043,True,4.7e-10,18.7651,-310.104767235,0.08851928500001804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,340,4,100,13,19095,True,4.9e-11,18.2826,-310.19978022,-0.0064936999999645195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,340,6,100,17,81106,True,1.4e-11,18.2915,-310.192414065,0.0008724550000351883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,340,8,100,15,201073,True,7.7e-10,18.2848,-310.193479485,-0.0001929649999965477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,380,10,100,14,355059,True,2.9e-10,18.2938,-310.19328652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,380,2,100,18,3054,True,4.7e-10,18.7651,-310.104768835,0.08851768499999935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,380,4,100,13,19108,True,4.9e-11,18.2826,-310.19978187,-0.006495349999966038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,380,6,100,17,81124,True,1.4e-11,18.2915,-310.192415725,0.000870795000025737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,380,8,100,15,193068,True,7.7e-10,18.2848,-310.19348114,-0.0001946200000020326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,100,10,20,15,176177,True,3.1e-11,18.7511,-308.263015835,1.930270685000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,100,2,20,13,1029,True,9e-12,19.3783,-308.227062145,1.9662243750000243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,100,4,20,12,10046,True,9.7e-10,18.7865,-308.27439031,1.918896210000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,100,6,20,13,34056,True,5.1e-10,18.7363,-308.27142585,1.921860670000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,100,8,20,13,79021,True,3.9e-10,18.7306,-308.246099235,1.947187285000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,140,10,20,15,189065,True,1e-10,18.7452,-308.260537435,1.9327490850000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,140,2,20,13,1033,True,6.2e-12,19.37,-308.22477544,1.9685110800000416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,140,4,20,14,10123,True,4.4e-10,18.7771,-308.27193199,1.9213545300000305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182311363970886,0.0,0.38176886360291135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
