,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,10,114149,True,9.3e-11,17.2151,-164.09355892,-0.062181025000001,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,2,100,13,1084,True,3.3e-10,18.0267,-164.048450005,-0.017072110000015073,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,140,4,100,10,7101,True,2e-10,17.132,-164.09879231,-0.06741441500000178,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,6,100,17,41132,True,3.2e-10,17.1776,-164.09284439,-0.061466495000018995,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,140,8,100,9,55122,True,1.5e-10,17.2397,-164.09318372,-0.06180582500002174,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,10,100,8,97065,True,5e-11,16.8637,-164.038460565,-0.007082670000016833,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,2,100,23,2110,True,5.7e-13,17.5774,-163.99264504,0.03873285499997792,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,180,4,100,8,6093,True,2.6e-10,16.7764,-164.04316226,-0.011784365000011121,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,180,6,100,8,20139,True,2.6e-11,16.8379,-164.03768545,-0.0063075550000064595,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,180,8,100,8,48132,True,1.8e-10,16.8929,-164.03812563,-0.006747735000004695,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,10,100,8,100023,True,3.8e-12,16.8025,-164.031552495,-0.00017460000000824039,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,2,100,21,2058,True,5.1e-10,17.4797,-163.98518826,0.0461896349999904,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220,4,100,8,6102,True,2.7e-10,16.7097,-164.036161695,-0.004783800000012661,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220,6,100,8,21137,True,9.6e-11,16.7753,-164.030764245,0.0006136499999911393,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,220,8,100,8,52071,True,5e-11,16.8311,-164.031204575,0.00017331999998759784,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,10,100,8,101108,True,4.7e-12,16.8035,-164.031715095,-0.00033720000001835615,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,260,2,100,19,2046,True,2.1e-11,17.4857,-163.985340475,0.04603742000000466,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,260,4,100,8,7051,True,3e-10,16.7099,-164.036321515,-0.004943620000005922,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,260,6,100,8,23093,True,6e-11,16.7763,-164.030928085,0.00044980999999211235,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,260,8,100,8,51115,True,5.3e-11,16.8321,-164.031367075,1.0819999999966967e-05,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,10,100,8,103068,True,3.4e-12,16.804,-164.031698195,-0.0003202999999984968,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,2,100,23,2091,True,2.1e-10,17.484,-163.985239315,0.04613857999999027,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,300,4,100,8,6128,True,2.6e-10,16.7104,-164.03632375,-0.004945855000016763,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,300,6,100,8,22099,True,4.7e-11,16.7758,-164.0309122,0.0004656950000025972,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,300,8,100,8,52130,True,4.7e-11,16.8322,-164.031345105,3.278999997746723e-05,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,340,10,100,8,117104,True,2.6e-12,16.8027,-164.03147668,-9.87850000058188e-05,0.017728207356177084,0.0,0.0,0.0,0.0,0.0,0.0,0.9822717926438229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
