,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,13,2026,True,7.9e-10,22.6251,-257.705271595,0.005615654999985509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,180,10,100,10,194098,True,5e-10,21.5825,-257.717552305,-0.006665055000041775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,180,2,100,13,2042,True,4.3e-11,22.3933,-257.650123355,0.060763894999979584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180,4,100,10,12112,True,9.2e-10,21.5589,-257.71871519,-0.007827940000026956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,180,6,100,10,42118,True,6.8e-10,21.6206,-257.718019345,-0.007132095000031313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,8,100,11,106152,True,1.5e-10,21.4928,-257.717778315,-0.006891064999990704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,220,10,100,10,192133,True,7.5e-10,21.5516,-257.71108042,-0.00019316999998864048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,220,2,100,13,2054,True,4.2e-11,22.3522,-257.643451995,0.06743525499996395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,220,4,100,12,14131,True,4.9e-11,21.5275,-257.712186965,-0.0012997150000160218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,220,6,100,11,46034,True,1.1e-10,21.5896,-257.711535625,-0.0006483750000256805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,8,100,10,90107,True,2.1e-10,21.4611,-257.711307025,-0.00041977500001166845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,260,10,100,10,196135,True,7.5e-10,21.552,-257.7111995,-0.0003122500000358741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,260,2,100,12,2032,True,5.9e-10,22.3524,-257.643534185,0.06735306499996341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,260,4,100,12,15060,True,3.2e-11,21.528,-257.71230989,-0.001422639999987041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,260,6,100,11,47075,True,1.1e-10,21.59,-257.71165403,-0.0007667799999921954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,8,100,10,92170,True,2.2e-10,21.4615,-257.711425795,-0.000538545000040358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,300,10,100,10,206013,True,7.5e-10,21.5519,-257.71117539,-0.00028814000000920714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,300,2,100,13,2052,True,5.3e-11,22.3524,-257.64352344,0.06736380999996072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,300,4,100,12,14139,True,3.3e-11,21.5277,-257.71229515,-0.0014079000000037922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,300,6,100,11,49065,True,1.1e-10,21.5901,-257.71162573,-0.0007384799999954339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,8,100,10,97055,True,2.6e-10,21.4612,-257.711404125,-0.0005168750000166256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,340,10,100,10,205052,True,7.4e-10,21.5511,-257.710988155,-0.00010090500001069813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,340,2,100,13,2062,True,6.7e-11,22.351,-257.64332622,0.06756102999997893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,340,4,100,12,15119,True,3.8e-11,21.527,-257.71210041,-0.0012131600000202525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
