,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,9,177184.0,True,8.7e-10,9.883,-198.888344225,-8.5499999613603e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
1,140,2,100,12,1091.0,True,6e-10,10.3778,-198.77758581,0.11075755999999615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
2,140,4,100,9,11061.0,True,1.2e-10,9.8539,-198.8869429,0.0014004699999929926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3,140,6,100,9,38044.0,True,6.7e-10,9.7729,-198.88883082,-0.0004874500000084936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
4,140,8,100,10,101101.0,True,1.7e-10,9.8479,-198.88857838,-0.00023501000001147077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
5,180,10,100,9,171083.0,True,8.7e-10,9.8829,-198.88833871,4.6600000018770515e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
6,180,2,100,12,2032.0,True,6.1e-10,10.3778,-198.77757853,0.11076484000000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
7,180,4,100,9,11082.0,True,1.2e-10,9.8539,-198.88693731,0.0014060599999936585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
8,180,6,100,9,40043.0,True,6.7e-10,9.7729,-198.88882526,-0.0004818900000032045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
9,180,8,100,10,105098.0,True,1.7e-10,9.8479,-198.88857286,-0.00022949000000949127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
10,220,10,100,9,189124.0,True,8.7e-10,9.883,-198.888339605,3.7650000024314068e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
11,220,2,100,12,1100.0,True,6.1e-10,10.3778,-198.777579515,0.11076385499998764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
12,220,4,100,9,11103.0,True,1.2e-10,9.8539,-198.8869382,0.0014051699999981793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
13,220,6,100,9,40081.0,True,6.7e-10,9.7729,-198.88882616,-0.00048279000000661654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
