,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,100,2,20,18,1039.0,True,9.4e-13,7.589,-238.78607448,0.8561452499999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
1,100,4,20,15,4123.0,True,7e-15,7.4059,-238.90497171,0.7372480199999814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
2,100,6,20,14,15127.0,True,1.4e-13,7.4994,-238.90327078,0.7389489499999797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
3,100,8,20,16,39035.0,True,4.4e-14,7.5086,-238.90098851,0.7412312200000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
4,100,10,20,13,65161.0,True,5.5e-13,7.4499,-238.90122268,0.7409970500000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
5,140,2,20,19,1082.0,True,5.1e-13,7.5155,-238.77082099,0.8713987399999894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
6,140,4,20,16,5092.0,True,1.6e-15,7.343,-238.89202041,0.7501993200000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
7,140,6,20,15,16065.0,True,2.2e-14,7.4593,-238.89013219,0.7520875399999909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
8,140,8,20,15,37106.0,True,4.1e-13,7.461,-238.88782029,0.754399439999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
9,140,10,20,17,82181.0,True,3.4e-13,7.3969,-238.888041,0.7541787300000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
10,180,2,20,19,2124.0,True,6.9e-14,7.5155,-238.77081038,0.8714093499999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
11,180,4,20,15,7051.0,True,4.3e-13,7.3429,-238.89201194,0.7502077899999904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
12,180,6,20,15,18085.0,True,3.6e-13,7.4592,-238.89012345,0.7520962799999893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
13,180,8,20,15,39022.0,True,4.7e-13,7.4609,-238.88781152,0.7544082099999798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
14,180,10,20,16,80069.0,True,9.7e-13,7.3969,-238.88803221,0.7541875199999879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
