,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,10,1106.0,True,7.6e-10,9.1884,-168.2982989,0.0052059500000041226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
1,180,10,100,10,245151.0,True,4.6e-10,9.2296,-168.30350497,-1.2000000992884452e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
2,180,2,100,10,1108.0,True,8.1e-10,9.1884,-168.2982965,0.0052083500000037475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
3,180,4,100,21,25108.0,True,1.7e-10,8.6414,-168.303432065,7.278499998619736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
4,180,6,100,11,55069.0,True,3.2e-11,9.4559,-168.30012091,0.0033839399999919806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
5,180,8,100,11,132186.0,True,1.8e-10,9.2716,-168.30649697,-0.0029921200000160297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
6,220,10,100,10,264129.0,True,4.7e-10,9.2296,-168.303504505,3.4499998946557753e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
7,220,2,100,10,2033.0,True,7.4e-10,9.1884,-168.298296025,0.005208824999982653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
8,220,4,100,20,26135.0,True,8.7e-10,8.6414,-168.303431595,7.32549999895582e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
9,220,6,100,11,59113.0,True,2.7e-11,9.4559,-168.300120445,0.003384404999991375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
10,220,8,100,11,144074.0,True,1.8e-10,9.2716,-168.306496505,-0.0029916550000166353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
11,260,10,100,10,269134.0,True,4.7e-10,9.2296,-168.30350457,2.7999999474559445e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
12,260,2,100,10,2029.0,True,7.8e-10,9.1884,-168.2982961,0.005208750000008422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
13,260,4,100,24,31075.0,True,4.4e-10,8.6414,-168.30343166,7.318999999483822e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
14,260,6,100,11,59116.0,True,2.9e-11,9.4559,-168.300120515,0.0033843349999926886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
15,260,8,100,11,146070.0,True,1.9e-10,9.2716,-168.306496575,-0.0029917250000153217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
16,300,10,100,10,265094.0,True,4.7e-10,9.2296,-168.303504725,1.2499998547355062e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
17,300,2,100,10,1100.0,True,8.1e-10,9.1884,-168.29829625,0.005208600000003116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
18,300,4,100,22,24111.0,True,1.5e-10,8.6414,-168.303431815,7.303499998556617e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
19,300,6,100,11,58131.0,True,3.1e-11,9.4559,-168.300120665,0.003384184999987383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
20,300,8,100,11,142032.0,True,1.8e-10,9.2716,-168.30649673,-0.002991879999996172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
21,340,10,100,10,283131.0,True,4.7e-10,9.2296,-168.3035048,4.999998282073648e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
22,340,2,100,10,2047.0,True,8.3e-10,9.1884,-168.298296325,0.0052085250000004635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
23,340,4,100,18,26159.0,True,6.6e-10,8.6415,-168.303431895,7.295500000736865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
24,340,6,100,11,64074.0,True,3.9e-11,9.4559,-168.300120745,0.0033841050000091855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
25,340,8,100,11,153134.0,True,1.8e-10,9.2716,-168.306496805,-0.002991954999998825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
26,380,10,100,10,284093.0,True,4.7e-10,9.2296,-168.30350485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
27,380,2,100,10,2057.0,True,8.1e-10,9.1884,-168.298296375,0.005208474999989221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
28,380,4,100,24,33137.0,True,7.7e-11,8.6414,-168.30343194,7.291000000009262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
29,380,6,100,11,63136.0,True,3e-11,9.4559,-168.30012079,0.0033840600000019094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
30,380,8,100,11,153152.0,True,1.8e-10,9.2716,-168.30649685,-0.002992000000006101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
31,100,10,20,10,124122.0,True,2.4e-10,9.216,-166.8862201,1.4172847499999932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
