,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,11,1051.0,True,5.2e-10,6.3924,-79.595131915,-0.0344988949999987,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
1,140,4,100,17,11107.0,True,5.1e-10,8.4849,-79.558858845,0.0017741749999942158,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
2,180,2,100,11,1067.0,True,6.4e-10,6.3923,-79.59514126,-0.03450824000000807,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
3,260,2,100,11,1066.0,True,3e-10,6.3925,-79.5951442,-0.034511179999995534,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
4,300,2,100,11,1080.0,True,3e-10,6.3924,-79.595140965,-0.03450794500000143,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
5,340,2,100,11,1080.0,True,2.9e-10,6.3924,-79.59514555,-0.03451253000000065,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
6,100,2,20,11,105.0,True,1.9e-10,6.3903,-79.53629839,0.02433462999999847,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
7,100,4,20,9,6034.0,True,6.7e-10,8.4891,-79.500833105,0.05979991499999926,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
8,140,2,20,12,1022.0,True,3.1e-10,6.3934,-79.536218395,0.024414624999991474,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
9,140,4,20,10,7079.0,True,1.5e-10,8.4924,-79.50074156,0.059891460000002894,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
10,180,2,20,12,1014.0,True,7.4e-10,6.3934,-79.53622514,0.024407879999998272,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
11,180,4,20,10,6111.0,True,5.2e-10,8.4924,-79.500748285,0.059884734999997136,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
12,220,4,20,10,7037.0,True,3.6e-10,8.4924,-79.50075133,0.059881689999997434,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
13,260,2,20,10,1011.0,True,8.9e-10,6.3935,-79.53622711,0.0244059099999987,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
14,260,4,20,10,7075.0,True,3.6e-10,8.4925,-79.500749925,0.05988309500000355,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
15,300,2,20,11,1027.0,True,1.7e-10,6.3935,-79.53622394,0.024409079999998085,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
16,300,4,20,10,7082.0,True,3.2e-10,8.4924,-79.500746765,0.059886254999995,0.03284525253366508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671547474663349,0.0,0.0,0.0,0.0,0.0
