,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,16,5127,True,9e-10,12.2174,-628.01059791,0.04022261499994784,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,140,4,100,14,24141,True,7e-11,12.0727,-628.049475195,0.0013453299999355295,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,140,6,100,14,82088,True,1.2e-11,12.2593,-628.051058395,-0.00023787000009178882,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,140,8,100,13,177111,True,4.4e-10,12.4411,-628.051469135,-0.0006486100000984152,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,180,2,100,16,5066,True,8.9e-10,12.2172,-628.010544695,0.04027582999992774,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,180,4,100,14,24191,True,7.2e-11,12.0726,-628.049422175,0.0013983499999312698,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,180,6,100,13,77125,True,9.1e-10,12.2592,-628.051005575,-0.0001850500000273314,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,180,8,100,13,180088,True,4.4e-10,12.441,-628.05141634,-0.0005958149999969464,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,220,2,100,16,5099,True,8.8e-10,12.2172,-628.010524145,0.04029637999997249,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,220,4,100,14,26162,True,7.3e-11,12.0725,-628.04940163,0.00141889499991521,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,220,6,100,13,83166,True,9e-10,12.2592,-628.050985085,-0.00016456000003017834,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,220,8,100,13,194117,True,4.4e-10,12.4409,-628.051395855,-0.0005753300000606032,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,260,2,100,16,6039,True,8.9e-10,12.2172,-628.010518845,0.040301679999970474,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,260,4,100,14,30077,True,7.5e-11,12.0726,-628.049396665,0.0014238599999316648,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,260,6,100,13,93066,True,9e-10,12.2592,-628.050980065,-0.00015954000002693647,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15,260,8,100,13,218027,True,4.4e-10,12.4409,-628.05139081,-0.0005702850000943727,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16,300,2,100,16,5141,True,8.8e-10,12.2172,-628.01051362,0.04030690499996581,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17,300,4,100,14,30078,True,7.3e-11,12.0725,-628.049391175,0.0014293499999666892,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18,300,6,100,13,93108,True,9e-10,12.2592,-628.05097463,-0.00015410500009238604,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19,300,8,100,13,218023,True,4.4e-10,12.4409,-628.05138539,-0.0005648650000011912,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20,340,2,100,16,5098,True,8.8e-10,12.2172,-628.01051215,0.04030837499999507,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21,340,4,100,14,26119,True,7.4e-11,12.0725,-628.04938969,0.0014308349999510028,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22,340,6,100,13,81127,True,9e-10,12.2592,-628.05097314,-0.00015261500004726258,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23,340,8,100,13,189045,True,4.4e-10,12.4409,-628.051383905,-0.0005633800000168776,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24,380,2,100,16,6074,True,8.8e-10,12.2171,-628.01050949,0.04031103499994515,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25,380,4,100,14,31079,True,7.4e-11,12.0725,-628.049386975,0.00143355000000156,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26,380,6,100,13,96087,True,9e-10,12.2591,-628.05097044,-0.0001499150000654481,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
27,380,8,100,13,224055,True,4.4e-10,12.4409,-628.051381205,-0.0005606800000350631,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
28,100,10,20,13,221104,True,8.3e-10,12.4421,-627.292238305,0.7585822199999939,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
29,100,2,20,15,3127,True,1.1e-10,12.2575,-627.264154335,0.7866661900000054,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
30,100,4,20,13,15105,True,5.5e-11,12.0917,-627.2959775,0.7548430249999001,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
31,100,6,20,13,49086,True,2.9e-10,12.2657,-627.292697885,0.7581226399998968,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
32,100,8,20,14,122142,True,1.2e-10,12.4421,-627.29636348,0.754457044999981,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
33,140,10,20,14,238088,True,1.6e-10,12.43,-627.291533725,0.7592867999999271,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
34,140,2,20,15,4107,True,7e-13,12.2424,-627.26353718,0.7872833449999916,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
35,140,4,20,13,15101,True,1.5e-11,12.0785,-627.29524411,0.7555764149999504,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
36,140,6,20,13,49075,True,4.8e-10,12.2569,-627.291985775,0.7588347500000054,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
