,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,300,10,100,8,147128.0,True,6.9e-10,6.5634,-108.672266755,-0.06557993500000237,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,300,8,100,8,75097.0,True,8.2e-10,6.5616,-108.67219574,-0.0655089200000134,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,260,2,20,11,1023.0,True,2.1e-10,7.1776,-107.883329715,0.723357104999991,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,300,2,20,11,1026.0,True,2e-10,7.1776,-107.883322785,0.7233640349999888,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,300,4,20,10,6117.0,True,6.8e-10,6.898,-107.957572045,0.6491147749999868,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,340,2,20,11,1028.0,True,2.1e-10,7.1776,-107.883323275,0.723363544999998,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,380,2,20,11,1031.0,True,2e-10,7.1776,-107.88332238,0.7233644399999974,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,140,2,25,13,1036.0,True,4.7e-10,7.1982,-108.478818805,0.12786801499999,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,180,2,25,13,1038.0,True,4.7e-10,7.1982,-108.478814765,0.12787205499999743,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,220,2,25,13,1040.0,True,4.7e-10,7.1982,-108.47881488,0.12787193999999147,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,260,2,25,13,1043.0,True,4.7e-10,7.1982,-108.47882247,0.12786434999999585,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,260,4,25,9,6082.0,True,9.2e-10,6.9286,-108.543882485,0.0628043349999956,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,180,8,30,8,48098.0,True,5.8e-10,6.562,-108.655751275,-0.049064455000007,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,340,10,30,8,94117.0,True,4.8e-10,6.5638,-108.655892225,-0.04920540500000925,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,260,2,35,11,1044.0,True,2.5e-10,7.2011,-108.60499583,0.0016909900000001699,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15,340,2,35,11,1040.0,True,2.9e-10,7.201,-108.604991535,0.0016952849999967157,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16,380,2,35,11,1044.0,True,3.4e-10,7.201,-108.60499098,0.0016958399999964513,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17,380,4,35,8,6076.0,True,5.9e-10,6.9308,-108.67137499,-0.06468817000001081,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18,100,2,40,11,1014.0,True,2.7e-10,7.21,-108.6071993,-0.0005124800000118057,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19,100,4,40,9,6117.0,True,3.6e-10,6.9365,-108.67310012,-0.06641330000000778,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20,140,2,40,11,1031.0,True,3.3e-10,7.2011,-108.60581896,0.0008678599999996095,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
