,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,10,214065.0,True,4.1e-11,7.1836,-246.978878585,-2.8864999990219076e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,140,2,100,9,1063.0,True,2.7e-12,6.5406,-246.98014563,-0.0012959100000102808,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,140,4,100,10,11062.0,True,1.8e-10,7.2568,-246.97819014,0.0006595799999900009,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,140,6,100,11,44068.0,True,3.6e-10,6.9917,-246.978331285,0.000518435000003592,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,140,8,100,9,94093.0,True,3e-10,7.2295,-246.979902035,-0.0010523150000096848,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
5,220,10,100,10,234075.0,True,4.2e-11,7.1836,-246.97887654,-2.681999998799256e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,220,6,100,11,49057.0,True,3e-10,6.9917,-246.978329245,0.0005204750000018521,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7,220,8,100,9,105068.0,True,3e-10,7.2295,-246.9799,-0.0010502799999869694,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,260,10,100,10,223176.0,True,3.9e-11,7.1836,-246.97887673,-2.7009999996607803e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
9,260,2,100,9,1057.0,True,2.7e-12,6.5406,-246.980143695,-0.0012939750000100503,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
