,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,100,2,20,17,105.0,True,5.9e-11,18.7819,-115.02599119,0.556818585000002,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
1,100,4,20,14,6040.0,True,9.2e-10,18.4726,-114.95714253,0.6256672450000025,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
2,100,8,20,12,48137.0,True,2.1e-10,18.378,-114.944361215,0.6384485600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
3,140,10,20,11,94140.0,True,1.8e-10,18.3369,-114.940596855,0.6422129200000057,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
4,140,2,20,17,110.0,True,4.8e-10,18.7769,-115.027349845,0.5554599299999978,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
5,140,4,20,15,6063.0,True,1.8e-11,18.4599,-114.95818094,0.6246288349999958,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
6,140,6,20,12,20112.0,True,2.9e-10,18.3342,-114.94345713,0.6393526450000024,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
7,140,8,20,12,50148.0,True,3e-10,18.3673,-114.945430395,0.6373793799999987,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
8,180,10,20,11,94164.0,True,1.8e-10,18.3363,-114.94060325,0.642206525000006,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
9,180,2,20,18,1022.0,True,1.4e-11,18.7772,-115.02736739,0.5554423850000063,0.0,0.0,0.0,0.0,0.0,0.0,0.7968415266148088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20315847338519133,0.0,0.0,0.0
