,ecutrho,k_density,ecutwfc,converged,accuracy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,True,2.1e-11,0.043347125000025244,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,4,100,True,1e-10,0.002678970000033587,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,140,6,100,True,1.2e-10,-0.0001616299999795956,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180,10,100,True,5.7e-11,2.083500004346206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,180,2,100,True,9e-10,0.04361868000000868,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,4,100,True,1.3e-10,0.0029538000000002285,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,6,100,True,2e-11,0.00010632999999415915,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,180,8,100,True,6.4e-11,6.224500003781941e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,220,10,100,True,3.6e-11,1.921500000889864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,220,2,100,True,5.7e-10,0.043616675000009764,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,4,100,True,1.3e-10,0.002952160000006643,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,6,100,True,1.9e-11,0.00010470000000850632,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220,8,100,True,6.3e-11,6.061499999532316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,260,10,100,True,4.5e-11,1.0500000030333467e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,260,2,100,True,3.9e-10,0.043607489999999416,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,4,100,True,1.3e-10,0.0029445050000163064,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,260,6,100,True,1.9e-11,9.578999998893778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,260,8,100,True,6.2e-11,5.205500002603003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,300,10,100,True,9.3e-11,-1.3594999984434253e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,300,2,100,True,3.5e-10,0.04358303500004013,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,4,100,True,1.3e-10,0.002920270000004166,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,6,100,True,2e-11,7.170500003894631e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,300,8,100,True,6.4e-11,2.7930000044307235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,340,10,100,True,3.5e-11,-3.6999999792897142e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,340,2,100,True,5.5e-10,0.04359318000001622,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,340,4,100,True,1.3e-10,0.0029300600000397026,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,340,6,100,True,2.1e-11,8.166000003484442e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,340,8,100,True,6.2e-11,3.781000003755253e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,380,10,100,True,3.1e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,380,2,100,True,6.6e-10,0.04359686500004045,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,380,4,100,True,1.3e-10,0.002933990000030917,0.0,0.0,0.0,0.0,0.0,0.0,0.48347551821063545,0.0,0.0,0.5165244817893645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
