,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,15,1100,True,2e-11,22.9929,-159.36526012,0.053536550000018224,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,4,100,12,13089,True,4.1e-10,22.4006,-159.42542215,-0.006625479999996742,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,180,10,100,13,221080,True,9.7e-11,22.214,-159.41879226,4.410000002508241e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180,2,100,15,1092,True,2.1e-11,22.9929,-159.365265035,0.05353163500001301,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,180,4,100,12,12071,True,4.1e-10,22.4006,-159.42542691,-0.006630239999992682,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,6,100,14,45071,True,1.3e-10,22.13,-159.417601435,0.0011952350000115075,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,8,100,13,111179,True,2.3e-11,22.2158,-159.418464455,0.0003322150000144575,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,220,10,100,13,217074,True,9.6e-11,22.214,-159.418793635,3.035000020190637e-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,220,2,100,15,1104,True,2e-11,22.9929,-159.36526647,0.05353020000001152,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,220,4,100,12,13060,True,4.1e-10,22.4006,-159.425428295,-0.006631624999982932,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,6,100,14,45073,True,1.4e-10,22.13,-159.417602815,0.0011938549999968018,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,8,100,13,107161,True,2.6e-11,22.2158,-159.41846583,0.00033084000000371816,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,260,10,100,13,225156,True,9.6e-11,22.214,-159.418796015,6.550000080096652e-07,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,260,2,100,15,1098,True,2e-11,22.9929,-159.36526894,0.05352773000001321,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,260,4,100,12,12133,True,4.1e-10,22.4006,-159.425430685,-0.006634015000003046,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,6,100,14,47107,True,1.3e-10,22.13,-159.41760521,0.0011914600000011433,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,260,8,100,13,112068,True,2.5e-11,22.2158,-159.418468215,0.0003284550000159925,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,300,10,100,13,224180,True,9.7e-11,22.214,-159.418796265,4.050000086408545e-07,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,300,2,100,15,1102,True,2e-11,22.9929,-159.365269235,0.05352743500000656,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,300,4,100,12,13065,True,4.1e-10,22.4006,-159.42543094,-0.0066342700000063815,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,6,100,14,48051,True,1.2e-10,22.13,-159.41760547,0.0011911999999938416,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,8,100,13,114013,True,2.5e-11,22.2158,-159.41846847,0.00032820000001265726,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,340,10,100,13,218131,True,9.7e-11,22.214,-159.418797035,-3.6500000533123966e-07,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,340,2,100,15,1101,True,2e-11,22.9929,-159.36527,0.05352666999999656,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,340,4,100,12,12110,True,4.1e-10,22.4006,-159.425431705,-0.006635034999987965,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,340,6,100,14,45085,True,1.2e-10,22.13,-159.417606225,0.0011904450000201905,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,340,8,100,13,108025,True,2.5e-11,22.2158,-159.418469235,0.0003274350000026516,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,380,10,100,13,222107,True,9.7e-11,22.214,-159.41879667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,380,2,100,15,1101,True,2e-11,22.9929,-159.365269645,0.053527024999993955,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,380,4,100,12,12118,True,4.1e-10,22.4006,-159.425431345,-0.006634674999986601,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,380,6,100,14,46096,True,1.2e-10,22.13,-159.41760587,0.001190800000017589,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,380,8,100,13,110100,True,2.5e-11,22.2158,-159.418468875,0.0003277950000040164,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,100,10,20,12,141137,True,5.3e-10,22.3112,-159.2789229,0.13987377000000834,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
