,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,13,145096.0,True,2.5e-10,18.275,-174.12088042,-0.00010077999999680287,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
1,140,2,100,12,1088.0,True,7.6e-11,18.3734,-174.06693353,0.05384610999999495,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
2,140,4,100,14,10095.0,True,2.9e-10,18.1979,-174.114344555,0.0064350849999925686,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
3,140,6,100,11,26173.0,True,1.5e-10,18.308,-174.12146945,-0.0006898100000114482,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
4,140,8,100,18,92098.0,True,1.8e-10,18.3701,-174.120508895,0.0002707449999945766,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
5,180,10,100,13,147062.0,True,2.5e-10,18.2748,-174.12078097,-1.330000003463283e-06,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
6,180,2,100,12,1083.0,True,5.1e-11,18.3733,-174.06682951,0.05395013000000404,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
7,180,4,100,19,14085.0,True,4.3e-11,18.1977,-174.114245625,0.006534014999999727,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
8,180,6,100,11,27129.0,True,1.4e-10,18.3079,-174.121369955,-0.0005903150000108326,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
9,180,8,100,19,105117.0,True,8e-11,18.3699,-174.120409585,0.00037005499999054337,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
10,220,10,100,13,176005.0,True,2.5e-10,18.2747,-174.12079935,-1.9710000003669848e-05,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
11,220,2,100,12,1105.0,True,6.4e-11,18.3732,-174.06684895,0.05393068999998718,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
12,220,4,100,20,18046.0,True,2.7e-11,18.1976,-174.114264235,0.006515404999987595,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
13,220,6,100,11,33033.0,True,1.4e-10,18.3078,-174.12138824,-0.0006085999999925207,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
14,220,8,100,18,121020.0,True,5.9e-10,18.3699,-174.120428015,0.00035162500000751606,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
15,260,10,100,13,166145.0,True,2.6e-10,18.2746,-174.12077415,5.490000006602713e-06,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
16,260,2,100,12,1108.0,True,7.7e-11,18.3731,-174.06682456,0.05395508000000859,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
17,260,4,100,23,19052.0,True,4.7e-10,18.1976,-174.11423923,0.006540409999985286,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
18,260,6,100,11,30192.0,True,1.4e-10,18.3077,-174.121362965,-0.000583325000008017,0.0,0.0,0.0,0.0,0.0,0.8855219978440121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11447800215598791,0.0,0.0,0.0,0.0
