,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,14,134188.0,True,2.4e-10,16.3685,-172.1272571,-0.0002454000000113865,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,2,100,38,2073.0,True,4.9e-10,16.6668,-172.078245465,0.048766234999988,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,140,4,100,13,7121.0,True,1.9e-10,16.6956,-172.12201741,0.004994289999984858,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,6,100,14,28158.0,True,3.5e-11,16.4597,-172.12637882,0.0006328799999835155,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,140,8,100,13,64153.0,True,2.7e-10,16.4174,-172.127306165,-0.0002944649999960802,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,10,100,14,137138.0,True,2.1e-10,16.3681,-172.12700212,9.580000011055745e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,2,100,61,5054.0,True,6.8e-11,16.6651,-172.07798256,0.04902913999998759,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,180,4,100,13,8083.0,True,7.5e-10,16.6945,-172.12176277,0.005248929999993379,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,180,6,100,14,29108.0,True,5.2e-11,16.4591,-172.12612477,0.0008869300000071689,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,180,8,100,13,66072.0,True,4e-10,16.4168,-172.127051485,-3.9785000012670935e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,10,100,14,138053.0,True,2.1e-10,16.3681,-172.127002265,9.435000009716532e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,2,100,59,4078.0,True,9.3e-11,16.6651,-172.077983305,0.04902839499999345,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220,4,100,13,8087.0,True,8.7e-10,16.6945,-172.12176295,0.005248749999992697,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220,6,100,14,29116.0,True,5.5e-11,16.4591,-172.126124955,0.0008867450000025201,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,220,8,100,13,65110.0,True,4.1e-10,16.4168,-172.12705164,-3.993999999352127e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,10,100,14,141135.0,True,2.1e-10,16.3681,-172.127003205,8.495000002994857e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,260,2,100,60,4080.0,True,1.6e-10,16.6651,-172.077984575,0.049027125000009164,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,260,4,100,13,8103.0,True,8.1e-10,16.6944,-172.121763905,0.0052477950000024975,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,260,6,100,14,29165.0,True,5.5e-11,16.459,-172.126125935,0.0008857649999924888,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,260,8,100,13,66123.0,True,4.1e-10,16.4167,-172.127052595,-4.089500001214219e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,10,100,14,142113.0,True,2.1e-10,16.3681,-172.12701176,-5.999999075356754e-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,2,100,57,5035.0,True,8.4e-11,16.6651,-172.07799302,0.04901867999998899,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,300,4,100,13,8114.0,True,8.1e-10,16.6945,-172.12177246,0.005239240000008749,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,300,6,100,14,30111.0,True,5.5e-11,16.4591,-172.126134475,0.0008772250000106396,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,300,8,100,13,68136.0,True,4.1e-10,16.4168,-172.127061145,-4.94450000019242e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
