,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,9,196116,True,1.1e-10,7.7445,-27.20863394,-1.3559999999301908e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
1,140,2,100,12,1055,True,5.3e-10,7.7653,-27.20758936,0.0010310199999992165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
2,140,4,100,9,11033,True,7.7e-12,8.019,-27.208606185,1.4194999998551339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
3,140,6,100,9,39084,True,7.2e-10,7.7767,-27.20917742,-0.0005570400000003417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
4,140,8,100,9,94117,True,2e-10,7.6461,-27.20796585,0.0006545299999984877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
5,180,10,100,9,192161,True,2.2e-10,7.7445,-27.208611125,9.254999998375979e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
6,180,2,100,13,1079,True,6.1e-10,7.7653,-27.207566355,0.0010540249999984042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
7,180,4,100,8,10112,True,2.5e-10,8.019,-27.20858335,3.702999999788403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
8,180,6,100,9,40116,True,8.8e-10,7.7768,-27.209154595,-0.0005342150000018364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
9,180,8,100,9,95090,True,2.7e-11,7.6461,-27.207943025,0.0006773550000005457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
10,220,10,100,9,207033,True,2.2e-10,7.7445,-27.208617145,3.2349999976588606e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
11,220,2,100,11,1057,True,6.5e-10,7.7653,-27.20757248,0.0010478999999996574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
12,220,4,100,8,11050,True,1.4e-10,8.019,-27.20858939,3.098999999906482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
13,220,6,100,9,43107,True,1.7e-10,7.7768,-27.209160625,-0.0005402449999998282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
14,220,8,100,9,101105,True,1.5e-10,7.6461,-27.207949045,0.0006713349999998286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
15,260,10,100,9,221105,True,2.1e-10,7.7445,-27.20861736,3.0199999976332492e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
16,260,2,100,12,1088,True,7.3e-10,7.7653,-27.20757276,0.0010476199999978064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
17,260,4,100,9,12117,True,2.1e-10,8.0189,-27.208589615,3.0764999998211806e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
18,260,6,100,10,48099,True,2.6e-10,7.7767,-27.209160845,-0.0005404650000002675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
19,260,8,100,9,109171,True,2e-10,7.6461,-27.207949265,0.0006711149999993893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
20,300,10,100,9,220130,True,2.2e-10,7.7445,-27.208619425,9.550000008573534e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
21,300,2,100,12,1093,True,8.2e-10,7.7653,-27.207574875,0.0010455050000004462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
22,300,4,100,9,12111,True,2.1e-10,8.0189,-27.208591675,2.87049999982969e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
23,300,6,100,10,48093,True,3e-10,7.7767,-27.209162905,-0.0005425250000001824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
24,300,8,100,9,109152,True,2.2e-10,7.6461,-27.207951325,0.0006690549999994744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
25,340,10,100,9,222110,True,1.9e-10,7.7445,-27.20861981,5.700000009767336e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
26,340,2,100,12,1104,True,7.4e-10,7.7653,-27.207575255,0.0010451250000009793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
27,340,4,100,9,12127,True,2.3e-10,8.0189,-27.20859207,2.8309999997588875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27935078076945974,0.0,0.7206492192305403,0.0
