,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,10,194120,True,1.9e-10,1.6864,-31.40886897,-1.300000000981072e-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,140,2,100,9,1054,True,5.4e-10,1.8248,-31.41058447,-0.001715629999999635,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,140,4,100,9,11064,True,8.1e-10,1.6647,-31.409409625,-0.0005407849999983227,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,140,6,100,10,41121,True,1.7e-10,1.6881,-31.408780025,8.881500000157416e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,140,8,100,10,100055,True,1.6e-10,1.6868,-31.40887511,-6.270000000085929e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,180,10,100,10,197088,True,1.9e-10,1.6864,-31.40886902,-1.8000000068241206e-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,180,2,100,9,1063,True,4.1e-10,1.8248,-31.410584515,-0.0017156749999998056,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,180,4,100,9,11085,True,8.1e-10,1.6647,-31.40940967,-0.0005408299999984933,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,180,6,100,10,41156,True,1.7e-10,1.6881,-31.40878007,8.877000000140356e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,180,8,100,10,101032,True,1.6e-10,1.6868,-31.40887516,-6.320000000670234e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,220,10,100,10,210069,True,1.9e-10,1.6864,-31.40886889,-5.000000058430487e-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,220,2,100,9,1075,True,4.1e-10,1.8248,-31.41058437,-0.0017155299999984663,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,220,4,100,9,12051,True,8.1e-10,1.6647,-31.409409545,-0.0005407049999988089,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,220,6,100,10,45010,True,1.7e-10,1.6881,-31.40877994,8.890000000150167e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,220,8,100,10,107104,True,1.6e-10,1.6868,-31.40887503,-6.190000000572127e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15,260,10,100,10,213119,True,1.9e-10,1.6864,-31.408868885,-4.5000000170603016e-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16,260,2,100,9,1081,True,4.1e-10,1.8248,-31.410584375,-0.00171553499999888,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17,260,4,100,9,12093,True,8.1e-10,1.6647,-31.40940954,-0.0005406999999983952,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18,260,6,100,10,46035,True,1.7e-10,1.6881,-31.408779935,8.890500000191537e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19,260,8,100,10,110090,True,1.6e-10,1.6868,-31.408875025,-6.185000000158425e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20,300,10,100,10,222047,True,1.9e-10,1.6864,-31.408868865,-2.4999998515795596e-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21,300,2,100,9,1090,True,4.1e-10,1.8248,-31.41058435,-0.0017155100000003642,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22,300,4,100,9,12125,True,8.1e-10,1.6647,-31.40940952,-0.0005406800000002931,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23,300,6,100,10,48044,True,1.7e-10,1.6881,-31.408779915,8.892500000001746e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24,300,8,100,10,114069,True,1.6e-10,1.6868,-31.408875005,-6.1649999985036175e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25,340,10,100,10,259035,True,1.9e-10,1.6864,-31.40886883,1.000000082740371e-08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26,340,2,100,9,2023,True,4.1e-10,1.8248,-31.410584315,-0.001715475000001021,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
27,340,4,100,9,15060,True,8.1e-10,1.6647,-31.409409485,-0.00054064500000095,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
28,340,6,100,10,55096,True,1.7e-10,1.6881,-31.40877988,8.895999999936066e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
29,340,8,100,10,133020,True,1.6e-10,1.6868,-31.40887497,-6.129999999160418e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
30,380,10,100,10,262058,True,1.9e-10,1.6864,-31.40886884,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
31,380,2,100,9,2033,True,4.1e-10,1.8248,-31.410584325,-0.0017154849999982957,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
32,380,4,100,9,15078,True,8.1e-10,1.6647,-31.409409495,-0.0005406549999982246,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
