,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,15,1072.0,True,2.8e-11,22.7365,-199.45518515,0.07792960500000845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,180,2,100,15,1098.0,True,2.8e-11,22.7365,-199.45519038,0.07792437500000915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,260,2,100,15,1112.0,True,2.8e-11,22.7365,-199.455198315,0.07791644000002407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,300,2,100,15,1104.0,True,2.8e-11,22.7365,-199.455196795,0.07791796000000772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,140,2,20,15,1039.0,True,3e-10,22.9497,-199.05219731,0.4809174450000171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,2,20,15,1031.0,True,3e-10,22.9497,-199.05219841,0.48091634500002556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,220,2,20,15,1041.0,True,3e-10,22.9497,-199.05220204,0.48091271500001653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,260,2,20,15,1042.0,True,3e-10,22.9497,-199.052203915,0.48091084000000706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,380,2,20,15,1046.0,True,3e-10,22.9497,-199.05220498,0.48090977500001486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,380,4,20,12,7135.0,True,8.7e-10,22.6587,-199.102889745,0.4302250100000151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,100,2,25,15,1038.0,True,1.2e-10,22.7405,-199.39098285,0.1421319050000136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,100,4,25,13,9091.0,True,2.2e-11,22.4263,-199.474507165,0.05860759000000826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,140,2,25,15,1027.0,True,1.2e-10,22.7402,-199.390895365,0.14221939000000816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,140,4,25,13,8134.0,True,2.3e-11,22.4261,-199.474416915,0.05869784000000777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,180,2,25,15,1030.0,True,1.2e-10,22.7402,-199.390897255,0.1422175000000152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,180,4,25,13,8119.0,True,2.3e-11,22.4261,-199.47441928,0.05869547500000749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,220,2,25,15,1032.0,True,1.2e-10,22.7402,-199.390901855,0.14221290000000408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,220,4,25,13,9038.0,True,2.3e-11,22.4261,-199.47442403,0.058690725000019484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,260,2,25,15,1031.0,True,1.2e-10,22.7402,-199.39090417,0.14221058500001504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,260,4,25,13,8129.0,True,2.3e-11,22.4261,-199.474426485,0.05868827000000465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,260,6,25,14,29154.0,True,6.1e-10,22.4113,-199.468458105,0.06465665000001763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,2,25,15,1041.0,True,1.2e-10,22.7402,-199.390902615,0.14221214000002647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,300,4,25,13,9035.0,True,2.2e-11,22.4261,-199.474424835,0.05868992000000617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,300,6,25,14,29174.0,True,6.1e-10,22.4113,-199.468456475,0.06465828000000329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,340,2,25,15,1039.0,True,1.2e-10,22.7402,-199.390904415,0.14221034000001964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,340,4,25,13,9037.0,True,2.2e-11,22.4261,-199.474426735,0.05868802000000528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,340,6,25,14,29193.0,True,6.1e-10,22.4113,-199.46845836,0.0646563950000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,380,10,25,13,129095.0,True,2.1e-10,22.4111,-199.471255505,0.06185925000002612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,380,2,25,15,1045.0,True,1.2e-10,22.7402,-199.390904285,0.14221047000000908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,380,4,25,13,8132.0,True,2.2e-11,22.4261,-199.474426495,0.05868826000002514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,140,2,30,15,1034.0,True,6.9e-11,22.7402,-199.4498311,0.08328365500000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,140,4,30,13,8120.0,True,5.8e-11,22.4216,-199.52797746,0.005137295000025688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,180,2,30,15,1057.0,True,7e-11,22.7402,-199.449833125,0.0832816300000161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,180,4,30,13,9132.0,True,6e-11,22.4216,-199.527979765,0.00513499000001616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
