,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,9,138083.0,True,8.5e-11,11.1823,-67.673916965,3.4099999908221434e-06,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
1,140,2,100,11,1043.0,True,2.2e-11,10.6737,-67.66445606,0.009464314999988233,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
2,140,4,100,12,10074.0,True,9.5e-10,11.008,-67.67382868,9.169499999472919e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
3,140,6,100,9,28093.0,True,1.1e-11,11.164,-67.674166175,-0.0002458000000018501,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
4,140,8,100,9,69169.0,True,8.5e-11,11.1596,-67.673807805,0.0001125699999988683,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
5,180,10,100,9,149103.0,True,8.5e-11,11.1823,-67.67391585,4.524999994259815e-06,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
6,180,2,100,11,1054.0,True,2.2e-11,10.6737,-67.664454785,0.009465589999990698,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
7,180,4,100,12,11054.0,True,9.6e-10,11.008,-67.673827565,9.280999999816686e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
8,180,6,100,9,30113.0,True,1.1e-11,11.164,-67.674165055,-0.00024468000000865686,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
9,180,8,100,9,76018.0,True,8.5e-11,11.1596,-67.67380669,0.00011368499998809511,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
10,220,10,100,9,151102.0,True,8.5e-11,11.1823,-67.673918495,1.8799999992324956e-06,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
11,220,2,100,11,1070.0,True,2.2e-11,10.6737,-67.664457445,0.009462929999997982,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
12,220,4,100,12,12070.0,True,9.6e-10,11.008,-67.673830215,9.015999999917312e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
13,220,6,100,9,33105.0,True,1.3e-11,11.164,-67.6741677,-0.0002473250000036842,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
14,220,8,100,9,77039.0,True,8.5e-11,11.1596,-67.673809335,0.0001110399999930678,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
15,260,10,100,9,161088.0,True,8.5e-11,11.1823,-67.673919335,1.0400000007848575e-06,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
16,260,2,100,11,1078.0,True,2.2e-11,10.6737,-67.66445827,0.009462104999997223,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
17,260,4,100,12,12079.0,True,9.5e-10,11.008,-67.673831055,8.932000000072549e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
18,260,6,100,9,33109.0,True,1.3e-11,11.164,-67.67416854,-0.0002481650000021318,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
19,260,8,100,9,82105.0,True,8.5e-11,11.1596,-67.67381018,0.00011019499999065374,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
20,300,10,100,9,178051.0,True,8.5e-11,11.1823,-67.673919835,5.399999878363815e-07,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
21,300,2,100,11,1094.0,True,2.2e-11,10.6737,-67.66445878,0.009461594999990552,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
22,300,4,100,12,13115.0,True,9.5e-10,11.008,-67.67383155,8.882499999174343e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
23,300,6,100,9,37067.0,True,1.3e-11,11.164,-67.674169035,-0.0002486600000111139,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
24,300,8,100,9,90111.0,True,8.4e-11,11.1596,-67.673810675,0.00010969999999588254,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
25,340,10,100,9,176127.0,True,8.5e-11,11.1823,-67.67392012,2.549999891243715e-07,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
26,340,2,100,11,1092.0,True,2.2e-11,10.6737,-67.664459065,0.00946130999999184,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
27,340,4,100,12,13086.0,True,9.5e-10,11.008,-67.67383184,8.8534999989065e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
28,340,6,100,9,37023.0,True,1.3e-11,11.164,-67.674169325,-0.00024894999999958145,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
29,340,8,100,9,89137.0,True,8.4e-11,11.1596,-67.673810965,0.00010940999999320411,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
30,380,10,100,9,176123.0,True,8.5e-11,11.1823,-67.673920375,0.0,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
31,380,2,100,11,1103.0,True,2.2e-11,10.6737,-67.66445934,0.009461035000001061,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
32,380,4,100,12,13101.0,True,9.5e-10,11.008,-67.673832095,8.827999999994063e-05,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
33,380,6,100,9,37023.0,True,1.3e-11,11.164,-67.67416958,-0.0002492050000029167,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
34,380,8,100,9,90072.0,True,8.4e-11,11.1596,-67.67381122,0.00010915499998986888,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
35,100,10,20,11,127151.0,True,6.2e-11,11.7491,-67.58026594,0.0936544349999906,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
36,100,2,20,10,103.0,True,1.2e-10,11.3994,-67.576283005,0.09763737000000106,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
37,100,4,20,9,6093.0,True,8.5e-10,11.4967,-67.58119534,0.09272503500000084,0.0,0.0,0.3627936366519551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372063633480449,0.0,0.0
