,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,13,94078.0,True,4.4e-12,14.0136,-14.69879518,-8.947999999975309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,140,2,100,20,1035.0,True,2.9e-10,13.4094,-14.576613355,0.12209234500000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,140,4,100,10,5041.0,True,1.8e-11,13.6904,-14.689294,0.009411699999999357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,140,6,100,13,19089.0,True,4.2e-10,14.0787,-14.697429665,0.0012760350000000642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,140,8,100,11,43106.0,True,9.2e-10,14.0503,-14.698577675,0.00012802500000042016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,180,10,100,13,93060.0,True,4.1e-12,14.0132,-14.698690005,1.5695000000093273e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,180,2,100,24,1055.0,True,7.3e-10,13.409,-14.576506385,0.12219931499999959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,180,4,100,10,5040.0,True,2.4e-11,13.69,-14.689188375,0.009517324999999133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,180,6,100,13,19089.0,True,6.9e-10,14.0784,-14.697324335,0.0013813650000003008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,180,8,100,11,43054.0,True,8.9e-10,14.0499,-14.69847246,0.00023324000000002343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,220,10,100,13,95048.0,True,4.2e-12,14.0129,-14.6987066,-8.999999998593466e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,220,2,100,17,1022.0,True,8.3e-10,13.4088,-14.576523015,0.12218268500000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,220,4,100,10,5049.0,True,2.6e-11,13.6898,-14.689204965,0.009500734999999594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,220,6,100,13,19117.0,True,7.9e-10,14.0781,-14.69734087,0.0013648299999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,220,8,100,12,46106.0,True,1.4e-10,14.0496,-14.698489025,0.0002166749999990003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,260,10,100,13,96084.0,True,4.3e-12,14.013,-14.698700505,5.194999999957872e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,260,2,100,19,1030.0,True,4.1e-12,13.4088,-14.57651503,0.12219067000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,260,4,100,10,5053.0,True,1.5e-11,13.6898,-14.68919857,0.009507129999999364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,260,6,100,13,19147.0,True,6.7e-10,14.0782,-14.697334695,0.0013710049999993146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,260,8,100,11,44075.0,True,9.5e-10,14.0496,-14.69848291,0.00022279000000047233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,300,10,100,13,111069.0,True,4e-12,14.0129,-14.69869721,8.489999999028441e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,300,2,100,19,1042.0,True,1.7e-11,13.4087,-14.576511905,0.12219379499999938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
