,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,9,113060.0,True,3.7e-10,19.0914,-99.982077325,2.061499999683747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1,140,2,100,9,112.0,True,1.2e-10,20.138,-99.95948742,0.022610520000000633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2,140,4,100,14,9084.0,True,9.2e-10,19.4415,-99.975158495,0.006939445000000433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
3,140,6,100,9,23156.0,True,7.3e-10,19.6458,-99.982361485,-0.0002635449999957018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
4,140,8,100,9,55156.0,True,9e-10,19.3442,-99.982019455,7.848500000307013e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5,180,10,100,9,114049.0,True,3.7e-10,19.0913,-99.982085885,1.2054999999122629e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
6,180,2,100,9,106.0,True,1.2e-10,20.1379,-99.959496915,0.022601025000000163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
7,180,4,100,16,11040.0,True,8.1e-11,19.4414,-99.97516746,0.006930480000008288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
8,180,6,100,9,23160.0,True,7.7e-10,19.6457,-99.982370215,-0.0002722750000003771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
9,180,8,100,9,56095.0,True,9.3e-10,19.344,-99.982027935,7.000499999776366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10,220,10,100,9,119126.0,True,3.6e-10,19.0913,-99.982095355,2.585000004273752e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
11,220,2,100,9,119.0,True,1.3e-10,20.1379,-99.9595064,0.022591540000007626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
12,220,4,100,16,11105.0,True,5.5e-11,19.4414,-99.97517676,0.0069211800000061885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
13,220,6,100,9,25130.0,True,7.7e-10,19.6456,-99.98237964,-0.0002817000000021608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
14,220,8,100,9,58103.0,True,9e-10,19.344,-99.982037405,6.0535000002914785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
15,260,10,100,9,142107.0,True,3.6e-10,19.0912,-99.98209724,7.000000010748408e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
