,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,11,165112,True,6e-10,7.6305,-47.176002615,-3.4900000045468005e-06,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1,140,2,100,12,1049,True,1.4e-10,8.4245,-47.14255734,0.03344178499999373,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
2,140,4,100,11,11068,True,4.3e-11,8.0373,-47.174839725,0.0011593999999988114,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
3,140,6,100,11,33078,True,5.9e-10,7.764,-47.175906135,9.298999999884927e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
4,140,8,100,11,82108,True,6.3e-10,7.7319,-47.176058795,-5.967000000595135e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
5,180,10,100,11,178073,True,5.9e-10,7.6304,-47.17600311,-3.985000006423434e-06,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
6,180,2,100,12,1070,True,1.4e-10,8.4244,-47.14255839,0.03344073499999922,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
7,180,4,100,11,12105,True,4.4e-11,8.0372,-47.17484024,0.00115888499999528,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
8,180,6,100,11,37117,True,6e-10,7.764,-47.175906635,9.249000000011165e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
9,180,8,100,11,92141,True,6.2e-10,7.7318,-47.176059295,-6.017000000468897e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
10,220,10,100,11,187043,True,6e-10,7.6304,-47.17600416,-5.0350000009302676e-06,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
11,220,2,100,12,1078,True,1.4e-10,8.4244,-47.14255957,0.03343955499999396,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
12,220,4,100,11,12131,True,4.3e-11,8.0372,-47.17484132,0.001157804999998291,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
13,220,6,100,11,39027,True,5.9e-10,7.764,-47.17590769,9.143499999453297e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
14,220,8,100,11,96088,True,6.3e-10,7.7318,-47.176060345,-6.122000000630123e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
15,260,2,100,12,1071,True,1.4e-10,8.4245,-47.14255709,0.0334420350000002,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
16,260,4,100,11,13058,True,4.3e-11,8.0373,-47.17483918,0.0011599449999977196,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
17,260,6,100,11,39041,True,5.9e-10,7.764,-47.175905585,9.353999999461848e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
18,260,8,100,11,96084,True,6.3e-10,7.7318,-47.176058245,-5.912000000307671e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
19,300,10,100,11,186107,True,6e-10,7.6305,-47.17600128,-2.1550000042225292e-06,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
20,300,2,100,12,1077,True,1.4e-10,8.4245,-47.142556235,0.03344288999999634,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
21,300,4,100,11,12141,True,4.3e-11,8.0373,-47.174838395,0.0011607299999951692,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
22,300,6,100,11,39070,True,5.9e-10,7.764,-47.1759048,9.432499999917354e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
23,300,8,100,11,97097,True,6.3e-10,7.7318,-47.176057465,-5.834000000248807e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
24,340,2,100,12,1095,True,1.4e-10,8.4245,-47.14255574,0.033443384999998216,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
25,340,4,100,11,13110,True,4.3e-11,8.0373,-47.17483788,0.0011612449999987007,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
26,340,6,100,11,42056,True,5.9e-10,7.764,-47.175904285,9.483999999559956e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
27,340,8,100,11,105031,True,6.3e-10,7.7318,-47.176056945,-5.782000000209564e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
28,380,2,100,12,1104,True,1.4e-10,8.4245,-47.14255477,0.033444355000000314,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
29,380,4,100,11,13110,True,4.3e-11,8.0373,-47.174837015,0.0011621099999956641,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
30,380,6,100,11,42118,True,5.9e-10,7.764,-47.17590343,9.569499999884101e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
31,380,8,100,11,104081,True,6.3e-10,7.7318,-47.17605609,-5.696500000595961e-05,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
32,100,10,20,11,106010,True,1.7e-10,7.6304,-47.172106085,0.00389303999999413,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
33,100,2,20,9,82,True,7.6e-10,8.4237,-47.1384779,0.03752122499999899,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
34,100,4,20,11,6074,True,1.8e-10,8.0356,-47.17097748,0.005021644999999353,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
35,100,6,20,11,22146,True,1.1e-10,7.7639,-47.172029795,0.0039693299999967735,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
