,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,32,729091,True,3.3e-10,14.5222,-515.425057225,-1.947999999174499e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1,140,2,100,41,13127,True,8.1e-10,14.637,-515.442904655,-0.01786690999995244,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2,140,4,100,30,47192,True,9.7e-11,14.5969,-515.422536455,0.0025012900000547234,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3,180,10,100,35,872145,True,4.2e-10,14.5222,-515.42504564,-7.894999953350634e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
4,180,2,100,41,15065,True,4.9e-10,14.6371,-515.44289326,-0.017855514999951083,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
5,180,4,100,31,53142,True,8.4e-10,14.597,-515.422524975,0.0025127700000666664,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,180,8,100,27,334160,True,3.3e-10,14.5141,-515.42486333,0.00017441500006043498,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7,220,10,100,32,889081,True,1.8e-10,14.5222,-515.42504153,-3.7849999898753595e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
8,220,2,100,39,14111,True,5.2e-10,14.6371,-515.44288922,-0.01785147499992945,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
9,220,4,100,31,58083,True,1.3e-10,14.5969,-515.422520835,0.00251691000005394,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
10,220,8,100,26,357065,True,7e-10,14.5141,-515.42485922,0.00017852500002391025,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
11,260,10,100,32,872149,True,7.9e-12,14.5222,-515.425039525,-1.7799999341150397e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
12,260,2,100,40,15118,True,8.5e-11,14.637,-515.442887215,-0.017849469999987377,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
13,260,4,100,36,67100,True,3.6e-10,14.5969,-515.422518805,0.002518940000072689,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
14,260,8,100,26,366144,True,2.2e-11,14.5141,-515.424857215,0.00018053000007967057,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
15,300,10,100,32,859120,True,2.1e-10,14.5222,-515.42503839,-6.450000000768341e-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
16,300,2,100,41,15093,True,2.3e-10,14.637,-515.44288604,-0.01784829499990792,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
17,300,4,100,30,57084,True,1.8e-10,14.5969,-515.42251766,0.00252008500001466,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
18,300,8,100,26,366064,True,7e-10,14.5141,-515.424856085,0.00018166000006658578,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
