,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,17,1032.0,True,5.6e-10,10.9967,-73.62408589,0.00027867499998990297,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,4,100,10,6065.0,True,2.1e-10,11.544,-73.63064818,-0.006283615000000964,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,180,2,100,20,1048.0,True,2e-10,10.9926,-73.624354165,1.039999999363772e-05,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,180,4,100,10,6053.0,True,1.2e-10,11.54,-73.63090643,-0.006541865000002645,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,220,2,100,16,1035.0,True,1.5e-10,10.9927,-73.624371445,-6.880000000819564e-06,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,260,8,100,9,59121.0,True,2.4e-10,11.4559,-73.633029365,-0.008664800000005357,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,100,10,25,9,72091.0,True,3.3e-10,11.5371,-73.62074397,0.0036205949999867926,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,380,8,25,10,47131.0,True,3e-10,11.4676,-73.60996762,0.014396944999987227,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,300,2,35,15,1024.0,True,5.4e-11,10.9941,-73.623334185,0.0010303799999888952,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,100,2,40,14,99.0,True,2.3e-10,11.0966,-73.63570869,-0.01134412500000792,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,140,2,40,14,118.0,True,7.4e-10,10.9975,-73.62370625,0.0006583149999954685,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,340,2,40,15,1022.0,True,1.1e-10,10.9933,-73.623992075,0.0003724899999895115,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
