,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,2,100,30,10046.0,True,1.4e-11,13.945,-518.5138631,-0.03840631000002759,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,140,4,100,27,41047.0,True,6.2e-10,13.585,-518.474122005,0.0013347849999263417,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,140,6,100,28,130135.0,True,2.8e-10,13.6105,-518.4757919,-0.0003351100000372753,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,8,100,23,263073.0,True,2.2e-10,13.6148,-518.47544415,1.2639999908969912e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,180,10,100,26,583058.0,True,4.7e-10,13.6135,-518.47546981,-1.3020000096730655e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,180,2,100,26,9043.0,True,3.5e-10,13.9449,-518.513830795,-0.03837400500003696,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,180,4,100,28,43075.0,True,4.2e-11,13.5849,-518.474089625,0.0013671649999196234,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,180,6,100,25,123126.0,True,5.6e-10,13.6104,-518.4757595,-0.000302710000028128,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,180,8,100,18,226107.0,True,4.3e-10,13.6148,-518.475411745,4.504499997892708e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,220,10,100,27,583056.0,True,1.4e-10,13.6135,-518.475461105,-4.315000069254893e-06,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,220,2,100,27,9069.0,True,2.4e-10,13.9449,-518.51382221,-0.03836541999999099,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,220,4,100,28,41100.0,True,2.3e-10,13.5849,-518.474080925,0.0013758649999999761,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,220,6,100,25,113084.0,True,2.2e-10,13.6104,-518.475750795,-0.0002940050000006522,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,220,8,100,21,233089.0,True,3e-11,13.6147,-518.47540304,5.375000000640284e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,260,10,100,27,622074.0,True,1.1e-10,13.6135,-518.475460165,-3.375000005689799e-06,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,260,2,100,32,11095.0,True,1.3e-11,13.9449,-518.51382134,-0.03836455000009664,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,260,4,100,27,44038.0,True,3.8e-10,13.5849,-518.47407998,0.0013768099998969774,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,260,6,100,26,135066.0,True,7e-10,13.6104,-518.47574985,-0.00029306000010365096,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,260,8,100,21,264154.0,True,8.5e-11,13.6147,-518.4754021,5.46899999562811e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,300,10,100,27,691092.0,True,1.4e-10,13.6135,-518.4754583,-1.510000060989114e-06,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,300,2,100,31,11089.0,True,8.5e-10,13.9449,-518.513819495,-0.03836270500005412,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,300,4,100,27,47042.0,True,2.9e-10,13.5849,-518.47407811,0.001378679999902488,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,300,6,100,27,151038.0,True,8e-11,13.6104,-518.475747985,-0.00029119500004526344,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,300,8,100,21,287133.0,True,2.6e-11,13.6147,-518.475400235,5.6554999900981784e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,340,10,100,26,619162.0,True,2.7e-10,13.6135,-518.47545732,-5.300000793795334e-07,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,340,2,100,29,11064.0,True,2.3e-10,13.9449,-518.513818535,-0.038361745000088376,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,340,4,100,27,48052.0,True,1.8e-10,13.5849,-518.474077135,0.0013796549999369745,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,340,6,100,27,153087.0,True,1e-10,13.6104,-518.47574701,-0.00029022000001077686,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,340,8,100,21,290148.0,True,4.7e-11,13.6147,-518.475399255,5.75349999962782e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,380,10,100,26,621089.0,True,3.2e-10,13.6135,-518.47545679,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,380,2,100,30,9131.0,True,5.8e-10,13.9449,-518.513818005,-0.038361215000009,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,380,4,100,27,48041.0,True,3.9e-10,13.5849,-518.474076605,0.0013801849999026672,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,380,6,100,27,141037.0,True,8.4e-11,13.6104,-518.47574648,-0.00028969000004508416,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,380,8,100,21,267110.0,True,4.4e-11,13.6147,-518.475398725,5.80649999619709e-05,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,100,2,20,32,9040.0,True,9.1e-12,13.9534,-518.499433395,-0.02397660500002985,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,100,4,20,26,26155.0,True,2.4e-10,13.5926,-518.46100428,0.01445250999995551,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,100,6,20,20,68082.0,True,1.2e-11,13.6185,-518.46255491,0.01290187999995851,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,100,8,20,24,181115.0,True,8.4e-11,13.6227,-518.46221016,0.01324662999991233,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,140,2,20,21,6040.0,True,4e-10,13.9528,-518.499293805,-0.02383701500002644,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,140,4,20,30,29165.0,True,1.3e-10,13.592,-518.46086743,0.014589359999945373,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,140,6,20,19,67098.0,True,9.6e-10,13.6179,-518.46241797,0.013038819999906082,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,180,2,20,22,6078.0,True,6.5e-11,13.9527,-518.499255155,-0.023798365000061494,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
