,ecutrho,k_density,ecutwfc,n_iterations,time,converged,accuracy,fermi,total_energy,delta_E,Lant,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,18,279086.0,True,9.3e-10,14.6758,-511.390018265,1.6290000019125728e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1,140,2,100,16,4035.0,True,1.1e-10,15.5481,-511.37595924,0.014075315000013688,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2,140,4,100,22,22139.0,True,9.4e-10,14.7014,-511.390697965,-0.000663410000015574,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
3,140,6,100,18,61141.0,True,8.7e-10,14.6663,-511.390133,-9.844499999189793e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
4,140,8,100,25,200038.0,True,1.4e-10,14.6711,-511.390005505,2.9050000023289613e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,180,10,100,20,365141.0,True,2.8e-10,14.6756,-511.39002757,6.985000027270871e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,180,2,100,16,4080.0,True,1.1e-10,15.5477,-511.375967955,0.01406659999997828,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,180,4,100,24,28113.0,True,1.5e-10,14.7012,-511.39070724,-0.0006726849999836304,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,180,6,100,19,77120.0,True,1.5e-10,14.666,-511.39014235,-0.00010779500001945053,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,180,8,100,32,285181.0,True,7.2e-10,14.6708,-511.390014815,1.974000002746834e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,220,10,100,20,336071.0,True,2.7e-10,14.6755,-511.39003775,-3.1949999765856774e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,220,2,100,16,4047.0,True,3.1e-10,15.5476,-511.375978455,0.01405610000000479,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,220,4,100,22,25096.0,True,8.9e-10,14.7011,-511.390717425,-0.0006828699999914534,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,220,6,100,19,71092.0,True,1.6e-10,14.6659,-511.39015253,-0.00011797500002330708,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,220,8,100,32,269040.0,True,1.9e-10,14.6707,-511.390025,9.555000019645377e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15,260,10,100,20,339079.0,True,2.9e-10,14.6755,-511.390035845,-1.2900000001536682e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
16,260,2,100,16,4062.0,True,2.9e-10,15.5476,-511.37597645,0.014058105000003707,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
17,260,4,100,22,24158.0,True,9.7e-10,14.701,-511.390715515,-0.0006809600000110549,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
18,260,6,100,19,73009.0,True,1.5e-10,14.6659,-511.390150625,-0.00011606999999003165,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
19,260,8,100,31,265137.0,True,4e-11,14.6707,-511.39002309,1.1465000000043801e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
20,300,10,100,20,371109.0,True,2.8e-10,14.6755,-511.390036065,-1.5100000041456951e-06,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
21,300,2,100,16,4083.0,True,2.9e-10,15.5475,-511.37597667,0.014057884999999715,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22,300,4,100,22,26147.0,True,9.3e-10,14.701,-511.390715735,-0.000681180000015047,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
23,300,6,100,19,79134.0,True,1.6e-10,14.6659,-511.39015085,-0.00011629499999799009,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
24,300,8,100,32,302083.0,True,7.6e-11,14.6707,-511.390023315,1.1239999992085359e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
25,340,10,100,20,373090.0,True,2.8e-10,14.6755,-511.39003476,-2.049999920927803e-07,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
26,340,2,100,16,5061.0,True,4.7e-10,15.5475,-511.37597534,0.014059214999974756,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
27,340,4,100,22,27174.0,True,9.6e-10,14.701,-511.390714425,-0.0006798699999990276,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
28,340,6,100,19,80065.0,True,1.5e-10,14.6659,-511.390149545,-0.00011498999998593717,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
29,340,8,100,30,281080.0,True,8.4e-10,14.6706,-511.39002201,1.2545000004138274e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
30,380,10,100,20,408167.0,True,2.9e-10,14.6755,-511.390034555,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
31,380,2,100,16,5085.0,True,4.7e-10,15.5475,-511.375975165,0.014059389999999894,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
32,380,4,100,22,30091.0,True,5.9e-10,14.701,-511.390714225,-0.0006796700000109013,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
33,380,6,100,19,86136.0,True,1.6e-10,14.6659,-511.39014934,-0.0001147849999938444,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
34,380,8,100,33,345076.0,True,4.1e-10,14.6707,-511.390021805,1.2749999996231054e-05,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
