,ecutrho,k_density,ecutwfc,converged,accuracy,delta_E,PTC1,PTC2,PTC3,PTC4,PTC5,PTC6,PTC7,PTC8,PTC9,PTC10,PTC11,PTC12,PTC13,PTC14,PTC15,PTC16,PTC17,PTC18
0,140,10,100,True,1.9e-11,-6.320000011328375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
1,140,2,100,True,3.3e-10,0.04718075499999941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
2,140,4,100,True,5.7e-11,0.0017584599999906914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
3,140,6,100,True,1.8e-11,0.00015637999999285057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
4,140,8,100,True,1.4e-11,9.499999976014806e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
5,180,10,100,True,2.2e-11,-9.600000225873373e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
6,180,2,100,True,3.2e-10,0.04718922999998654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
7,180,4,100,True,4.8e-11,0.0017640049999840812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
8,180,6,100,True,1.8e-11,0.00016175999999745727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
9,180,8,100,True,1.6e-11,1.4864999997143968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
10,220,10,100,True,2.1e-11,-2.800000231673039e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
11,220,2,100,True,3.3e-10,0.04718956499999649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
12,220,4,100,True,5e-11,0.0017646750000039901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
13,220,6,100,True,1.8e-11,0.0001624399999968773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
14,220,8,100,True,1.6e-11,1.5544999996564002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
15,260,10,100,True,2.2e-11,3.549999973984086e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
16,260,2,100,True,3.2e-10,0.0471905449999781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
17,260,4,100,True,4.9e-11,0.0017653349999875445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
18,260,6,100,True,1.9e-11,0.00016307999999298772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
19,260,8,100,True,1.6e-11,1.6179999988708005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
20,300,10,100,True,2.1e-11,6.999999868639861e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
21,300,2,100,True,3.3e-10,0.047190579999977444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
22,300,4,100,True,5e-11,0.001765669999997499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709763480580782,0.0,0.0,0.0,0.3290236519419219,0.0,0.0
